,coauthored_relationship_from,coauthored_relationship_to
0,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_fc95c_e1766_03e9e_1d1ff_ee390
1,authorID_fc95c_e1766_03e9e_1d1ff_ee390,authorID_f10d9_1a759_6bf5a_67735_79ff1
2,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_4c970_004b0_678d4_39f17_7e77d
3,authorID_4c970_004b0_678d4_39f17_7e77d,authorID_f10d9_1a759_6bf5a_67735_79ff1
4,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_5a39c_add1b_00709_3db50_74479
5,authorID_5a39c_add1b_00709_3db50_74479,authorID_f10d9_1a759_6bf5a_67735_79ff1
6,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_f369c_b89fc_627e6_68987_007d1
7,authorID_f369c_b89fc_627e6_68987_007d1,authorID_f10d9_1a759_6bf5a_67735_79ff1
8,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_bb668_ca955_63216_088b9_8a625
9,authorID_bb668_ca955_63216_088b9_8a625,authorID_f10d9_1a759_6bf5a_67735_79ff1
10,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_36ebe_205bc_dfc49_9a25e_6923f
11,authorID_36ebe_205bc_dfc49_9a25e_6923f,authorID_f10d9_1a759_6bf5a_67735_79ff1
12,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_6f4b6_61212_5fb3a_0daec_d2799
13,authorID_6f4b6_61212_5fb3a_0daec_d2799,authorID_f10d9_1a759_6bf5a_67735_79ff1
14,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_27d71_9c754_aacd4_92a6d_c8a1b
15,authorID_27d71_9c754_aacd4_92a6d_c8a1b,authorID_f10d9_1a759_6bf5a_67735_79ff1
16,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_81b8a_03f97_e8787_c53fe_1a86b
17,authorID_81b8a_03f97_e8787_c53fe_1a86b,authorID_f10d9_1a759_6bf5a_67735_79ff1
18,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_d6061_bbee6_cf13b_d7376_5faae
19,authorID_d6061_bbee6_cf13b_d7376_5faae,authorID_f10d9_1a759_6bf5a_67735_79ff1
20,authorID_f10d9_1a759_6bf5a_67735_79ff1,authorID_aea92_132c4_cbeb2_63e6a_c2bf6
21,authorID_aea92_132c4_cbeb2_63e6a_c2bf6,authorID_f10d9_1a759_6bf5a_67735_79ff1
